mot1,mot2,theme
Chat,Chien,Animal
Lion,Tigre,Animal
Dauphin,Requin,Animal
Aigle,Faucon,Animal
Cochon,Mouton,Animal
Éléphant,Rhinocéros,Animal
Grenouille,Crapaud,Animal
Loup,Renard,Animal
Perroquet,Canari,Animal
Singe,Gorille,Animal
Pizza,Quiche,Nourriture
Sushi,Ceviche,Nourriture
Croissant,Chausson aux pommes,Nourriture
Camembert,Brie,Nourriture
Steak,Côtelette,Nourriture
Fraise,Framboise,Nourriture
Citron,Pamplemousse,Nourriture
Carotte,Navet,Nourriture
Cèpe,Truffe,Nourriture
Crêpe,Gaufre,Nourriture
Café,Thé,Boisson
Vin,Bière,Boisson
Whisky,Rhum,Boisson
Champagne,Cidre,Boisson
Limonade,Orangina,Boisson
Perrier,Evian,Boisson
T-shirt,Polo,Vêtement
Jean,Jogging,Vêtement
Manteau,Imperméable,Vêtement
Robe,Jupe,Vêtement
Basket,Mocassin,Vêtement
Casquette,Bonnet,Vêtement
Football,Rugby,Sport
Tennis,Badminton,Sport
Natation,Plongée,Sport
Ski,Snowboard,Sport
Boxe,Judo,Sport
Cyclisme,Triathlon,Sport
Golf,Pétanque,Sport
Escalade,Randonnée,Sport
Médecin,Infirmier,Métier
Avocat,Notaire,Métier
Architecte,Urbaniste,Métier
Chef cuisinier,Pâtissier,Métier
Pompier,Policier,Métier
Pilote,Contrôleur aérien,Métier
Journaliste,Photographe,Métier
Enseignant,Formateur,Métier
Plage,Lac,Lieu
Montagne,Colline,Nature
Forêt,Jungle,Nature
Musée,Galerie d'art,Lieu
Cinéma,Théâtre,Lieu
Hôtel,Auberge de jeunesse,Lieu
Supermarché,Épicerie,Lieu
Stade,Gymnase,Lieu
Château,Manoir,Lieu
Désert,Savane,Nature
Voiture,Moto,Transport
Train,Tramway,Transport
Avion,Hélicoptère,Transport
Bateau,Ferry,Transport
Vélo,Trottinette,Transport
Métro,RER,Transport
Télévision,Ordinateur,Technologie
Téléphone,Tablette,Technologie
Livre,Magazine,Objet
Montre,Réveil,Objet
Lampe,Bougie,Objet
Cutter,Ciseaux,Objet
Stylo,Crayon,Objet
Sac à dos,Valise,Objet
Miroir,Tableau,Objet
Chaise,Tabouret,Objet
Guitare,Basse,Musique
Piano,Orgue,Musique
Trompette,Trombone,Musique
Batterie,Djembé,Musique
Violon,Alto,Musique
Flûte,Clarinette,Musique
Pluie,Neige,Météo
Orage,Tempête,Météo
Soleil,Lune,Nature
Rivière,Fleuve,Nature
Volcan,Séisme,Nature
Arc-en-ciel,Aurore boréale,Nature
Paris,Lyon,Lieu
Tokyo,Pékin,Lieu
Brésil,Argentine,Lieu
Italie,Espagne,Lieu
New York,Los Angeles,Lieu
Bras,Jambe,Corps
Cœur,Poumon,Corps
Dent,Ongle,Corps
Sourcil,Cil,Corps
Genou,Coude,Corps
Noël,Hanoukka,Fête
Mariage,Fiançailles,Fête
Anniversaire,Baptême,Fête
Carnaval,Halloween,Fête
Rose,Tulipe,Plante
Cactus,Aloès,Plante
Chêne,Sapin,Plante
Lierre,Vigne,Plante
Lavande,Menthe,Plante
Bambou,Roseau,Plante
