mot1,mot2,theme
Pet,Rot,Toilettes
Prout,Renvoi,Toilettes
Papier toilette,Sopalin,Toilettes
Diarrhée,Constipation,Toilettes
Cuvette,Lavabo,Toilettes
Chasse d'eau,Robinet,Toilettes
Pipi,Caca,Toilettes
Pot de chambre,Bassine,Toilettes
Débouchoir,Ventouse,Toilettes
Étron,Bouse,Toilettes
Vessie,Estomac,Toilettes
Urinoir,Bidet,Toilettes
Marcel,Débardeur,Beauf
Barbecue,Merguez,Beauf
Tuning,Pot d'échappement,Beauf
Ricard,Pastis,Beauf
Tong,Claquette,Beauf
Chaussette-claquette,Sandale à scratch,Beauf
Mobylette,Scooter,Beauf
Camping-car,Caravane,Beauf
Piscine gonflable,Pataugeoire,Beauf
Nain de jardin,Flamant rose en plastique,Beauf
Jogging Décathlon,Survêt' à bandes,Beauf
Pastaga,Jaune,Beauf
Blanc gênant,Silence de mort,Malaise
Vu à la piscine,Croisé aux toilettes,Malaise
Message au mauvais groupe,Like sur une vieille photo,Malaise
Braguette ouverte,Épinard entre les dents,Malaise
Bise ratée,Poignée de main foireuse,Malaise
Rire nerveux,Toux gênée,Malaise
Prénom oublié,Visage inconnu,Malaise
Chute dans l'escalier,Trébuchement sur du plat,Malaise
Ronflement en réunion,Bâillement sonore,Malaise
Ventre qui gargouille,Estomac qui crie,Malaise
Poil de nez,Poil d'oreille,Corps bizarre
Cor au pied,Ampoule,Corps bizarre
Bouton sur le nez,Point noir,Corps bizarre
Cérumen,Crotte de nez,Corps bizarre
Double menton,Bourrelet,Corps bizarre
Auréole de transpiration,Tache de gras,Corps bizarre
Haleine de chacal,Odeur de pieds,Corps bizarre
Ongle incarné,Verrue plantaire,Corps bizarre
Torticolis,Lumbago,Corps bizarre
Bide à bière,Poignée d'amour,Corps bizarre
Ex toxique,Plan foireux,Amour compliqué
Coup d'un soir,Date Tinder,Amour compliqué
Message vu ignoré,Appel manqué exprès,Amour compliqué
Ghosting,Vent monumental,Amour compliqué
Friendzone,Zone grise,Amour compliqué
Câlin forcé,Bise baveuse,Amour compliqué
Déclaration ratée,Râteau magistral,Amour compliqué
Bouquet fané,Chocolats périmés,Amour compliqué
Bague trop chère,Promesse en l'air,Amour compliqué
Rupture par SMS,Largage sur répondeur,Amour compliqué
Selfie raté,Photo floue,Réseaux sociaux
Filtre abusé,Retouche grossière,Réseaux sociaux
Story alcoolisée,Live embarrassant,Réseaux sociaux
Troll,Rageux,Réseaux sociaux
Influenceur fauché,Star déchue,Réseaux sociaux
Like de pitié,Vue fantôme,Réseaux sociaux
Abonné fantôme,Ami virtuel,Réseaux sociaux
Hashtag inutile,Légende bidon,Réseaux sociaux
Fake news,Rumeur de comptoir,Réseaux sociaux
Notification anxiogène,Batterie à 1%,Réseaux sociaux
Réunion inutile,Point qui s'éternise,Boulot chiant
Café de la machine,Thé tiède,Boulot chiant
Collègue relou,Chef lunatique,Boulot chiant
Mail passif-agressif,Post-it culpabilisant,Boulot chiant
Imprimante en panne,Bourrage papier,Boulot chiant
Lundi matin,Réveil qui sonne,Boulot chiant
Open space bruyant,Cantine bondée,Boulot chiant
Pause clope,Pause pipi,Boulot chiant
Heures sup non payées,Prime fantôme,Boulot chiant
Tableur imbuvable,Diaporama soporifique,Boulot chiant
Fin de mois difficile,Découvert autorisé,Fauché
Pâtes au beurre,Riz nature,Fauché
Ticket resto,Bon d'achat,Fauché
Pièce jaune,Centime perdu,Fauché
Compte à sec,Portefeuille vide,Fauché
Soldes agressives,Promo bidon,Fauché
Crédit à la conso,Dette chez le pote,Fauché
Radin notoire,Grippe-sou,Fauché
Addition partagée,Note salée,Fauché
Tirelire cassée,Cochon vide,Fauché
Salade triste,Soupe fade,Régime foiré
Craquage nocturne,Grignotage compulsif,Régime foiré
Kilo repris,Balance menteuse,Régime foiré
Sport abandonné,Abonnement gâché,Régime foiré
Cheat meal,Écart assumé,Régime foiré
Coca zéro,Eau plate,Régime foiré
Pomme culpabilité,Carotte punition,Régime foiré
Nutella à la cuillère,Pot de glace entier,Régime foiré
Ventre plat rêvé,Bidon réel,Régime foiré
Yaourt 0%,Fromage blanc,Régime foiré
Moustique,Mouche,Animaux relous
Cafard,Blatte,Animaux relous
Pigeon,Goéland,Animaux relous
Rat,Souris,Animaux relous
Puce,Tique,Animaux relous
Limace,Escargot,Animaux relous
Frelon,Guêpe,Animaux relous
Cancrelat,Punaise de lit,Animaux relous
Corbeau,Pie,Animaux relous
Sanglier,Ragondin,Animaux relous
Dentier,Prothèse,Papy-Mamie
Radis noir,Tisane miracle,Papy-Mamie
Rhumatisme,Arthrose,Papy-Mamie
Chaussons,Pantoufles,Papy-Mamie
Loto du village,Belote endiablée,Papy-Mamie
Vinaigre pour tout,Grog magique,Papy-Mamie
Télé trop fort,Radio grésillante,Papy-Mamie
Bonbon dans le sac,Mouchoir dans la manche,Papy-Mamie
Album photo,Diapo poussiéreuse,Papy-Mamie
Discours de mariage,Toast interminable,Papy-Mamie
Acné,Duvet de moustache,Ado boloss
Casquette à l'envers,Sweat trop grand,Ado boloss
Jeu vidéo toute la nuit,Série en boucle,Ado boloss
Chambre en bordel,Linge sale au sol,Ado boloss
Note catastrophique,Bulletin caché,Ado boloss
Crush inaccessible,Amour à sens unique,Ado boloss
Argent de poche,Pourboire de mamie,Ado boloss
Bouton de fièvre,Bouton sur le front,Ado boloss
Skate cassé,Trottinette volée,Ado boloss
Devoirs bâclés,Antisèche foireuse,Ado boloss
Étagère de travers,Cadre mal accroché,Bricolage raté
Doigt tapé,Ongle noirci,Bricolage raté
Vis foirée,Cheville qui tourne,Bricolage raté
Notice Ikea,Plan incompréhensible,Bricolage raté
Peinture qui coule,Papier peint qui cloque,Bricolage raté
Fuite d'eau,Robinet qui goutte,Bricolage raté
Perceuse hurlante,Marteau vengeur,Bricolage raté
Meuble bancal,Table qui boite,Bricolage raté
Rallonge dangereuse,Multiprise surchargée,Bricolage raté
Silicone partout,Colle sur les doigts,Bricolage raté
Crachin breton,Bruine parisienne,Météo pourrie
Canicule,Fournaise,Météo pourrie
Verglas traître,Gel matinal,Météo pourrie
Parapluie retourné,Capuche inutile,Météo pourrie
Orage soudain,Averse traîtresse,Météo pourrie
Chaussette mouillée,Basket trempée,Météo pourrie
Vent à décorner,Bourrasque glaciale,Météo pourrie
Ciel gris,Nuage menaçant,Météo pourrie
Boue partout,Flaque géante,Météo pourrie
Grêlon,Flocon,Météo pourrie
Ananas sur pizza,Ketchup sur pâtes,Bouffe cheloue
Andouillette,Tripes,Bouffe cheloue
Fromage qui pue,Œuf pourri,Bouffe cheloue
Escargot,Cuisse de grenouille,Bouffe cheloue
Pâté suspect,Rillettes douteuses,Bouffe cheloue
Surimi,Crabe reconstitué,Bouffe cheloue
Kebab mystère,Sauce blanche louche,Bouffe cheloue
Chips périmées,Biscuit ramolli,Bouffe cheloue
Lait tourné,Yaourt bombé,Bouffe cheloue
Sushi bas de gamme,Poisson pané,Bouffe cheloue
Tata bourrée,Tonton lourd,Fête qui dérape
Discours trop long,Diapo gênante,Fête qui dérape
Bouquet lancé,Jarretière arrachée,Fête qui dérape
DJ has-been,Playlist ringarde,Fête qui dérape
Dancefloor vide,Piste déserte,Fête qui dérape
Cousin dragueur,Voisin collant,Fête qui dérape
Pièce montée effondrée,Gâteau raté,Fête qui dérape
Confettis partout,Cotillons collants,Fête qui dérape
Mariée en pleurs,Marié transpirant,Fête qui dérape
Open bar dangereux,Vin d'honneur généreux,Fête qui dérape
Métro bondé,Bus en retard,Transport galère
RER en panne,Tram bloqué,Transport galère
Grève SNCF,Vol annulé,Transport galère
Bouchon interminable,Embouteillage monstre,Transport galère
Trottinette abandonnée,Vélo volé,Transport galère
Contrôleur zélé,Amende salée,Transport galère
Voisin bavard,Odeur suspecte,Transport galère
Valise trop lourde,Sac qui craque,Transport galère
Correspondance ratée,Train fantôme,Transport galère
Klaxon rageur,Doigt d'honneur,Transport galère
Camping boueux,Tente inondée,Vacances ratées
Coup de soleil,Insolation,Vacances ratées
Méduse,Oursin,Vacances ratées
Valise perdue,Bagage cassé,Vacances ratées
Hôtel miteux,Chambre sombre,Vacances ratées
Buffet froid,Plage bondée,Vacances ratées
Location décevante,Photo mensongère,Vacances ratées
Guide relou,Excursion foireuse,Vacances ratées
Souvenir kitsch,Aimant ringard,Vacances ratées
Retour déprimant,Lundi post-vacances,Vacances ratées
Foot en salle,Baby-foot,Sport du dimanche
Jogging abandonné,Marche forcée,Sport du dimanche
Courbature,Crampe,Sport du dimanche
Ballon crevé,Filet troué,Sport du dimanche
Arbitre aveugle,Coach hystérique,Sport du dimanche
Maillot trop serré,Short trop court,Sport du dimanche
Vestiaire qui pue,Douche froide,Sport du dimanche
Supporter éméché,Fan hystérique,Sport du dimanche
Match nul,Défaite cuisante,Sport du dimanche
Troisième mi-temps,Buffet d'après-match,Sport du dimanche
Loto perdant,Grattage foireux,Argent facile
Pyramide de Ponzi,Chaîne d'argent,Argent facile
Casino ruineux,Machine à sous,Argent facile
Assurance bidon,Garantie fantôme,Argent facile
Facture surprise,Frais cachés,Argent facile
Héritage disputé,Testament flou,Argent facile
Braquage raté,Casse foireux,Argent facile
Fausse monnaie,Chèque en bois,Argent facile
Impôts salés,Amende injuste,Argent facile
Radin de service,Pique-assiette,Argent facile
Boloss,Bouffon,Doux surnoms
Blaireau,Bouffi,Doux surnoms
Nigaud,Andouille,Doux surnoms
Cornichon,Grosse patate,Doux surnoms
Tête de linotte,Cervelle d'oiseau,Doux surnoms
Gros lourd,Vieux schnock,Doux surnoms
Empoté,Balourd,Doux surnoms
Courge,Nouille,Doux surnoms
Ronchon,Râleur,Doux surnoms
Feignant,Glandeur,Doux surnoms
Drague lourde,Compliment gênant,Séduction ratée
Clin d'œil raté,Sourire forcé,Séduction ratée
Parfum trop fort,Après-rasage agressif,Séduction ratée
Chemise ouverte,Chaîne en or,Séduction ratée
Réplique de film,Phrase bateau,Séduction ratée
Slow collé,Danse gênante,Séduction ratée
Numéro griffonné,Carte laissée,Séduction ratée
Rendez-vous foireux,Date catastrophe,Séduction ratée
Bouquet flétri,Peluche géante,Séduction ratée
Sérénade fausse,Poème bancal,Séduction ratée
Gâteau cramé,Tarte brûlée,Cuisine ratée
Riz collé,Pâtes trop cuites,Cuisine ratée
Sauce grumeleuse,Béchamel ratée,Cuisine ratée
Œuf explosé,Micro-ondes sale,Cuisine ratée
Soufflé retombé,Meringue liquide,Cuisine ratée
Steak carbonisé,Poulet cru,Cuisine ratée
Sel à la place du sucre,Épice de trop,Cuisine ratée
Assiette froide,Plat réchauffé,Cuisine ratée
Recette de mamie,Improvisation risquée,Cuisine ratée
Vaisselle qui déborde,Évier bouché,Cuisine ratée
Manette balancée,Clavier maltraité,Rage gaming
Lag traître,Écran figé,Rage gaming
Rage quit,Défaite injuste,Rage gaming
Boss impossible,Niveau maudit,Rage gaming
Pizza froide,Canette tiède,Rage gaming
Marathon nocturne,Nuit blanche,Rage gaming
Loot pourri,Coffre vide,Rage gaming
Coéquipier nul,Équipe toxique,Rage gaming
Manette qui drift,Joystick mort,Rage gaming
Mise à jour interminable,Serveur plein,Rage gaming
Cadeau nul,Chaussette dépareillée,Noël en famille
Pull moche,Écharpe qui gratte,Noël en famille
Tonton bourré,Mamie vexée,Noël en famille
Dinde sèche,Bûche industrielle,Noël en famille
Sapin qui perd,Guirlande cassée,Noël en famille
Repas interminable,Sieste forcée,Noël en famille
Papier cadeau déchiré,Ruban emmêlé,Noël en famille
Débat politique,Dispute annuelle,Noël en famille
Chocolat de l'Avent,Clémentine oubliée,Noël en famille
Photo de famille,Sourire crispé,Noël en famille
